Assembly constituency name,Age group,Total deletions,Reason for deletion,Male deletions,Female deletions,Gender imbalance in pct
Valmiki Nagar,18-29,252,Deceased,127,125,-0.79
Valmiki Nagar,30-44,"1,288",Deceased,671,617,-4.19
Valmiki Nagar,45-60,"2,533",Deceased,"1,322","1,211",-4.38
Valmiki Nagar,61-75,"3,521",Deceased,"1,757","1,764",0.2
Valmiki Nagar,75+,"2,161",Deceased,"1,051","1,110",2.73
Valmiki Nagar,18-29,790,Duplicate enrolment,383,407,3.04
Valmiki Nagar,30-44,"1,390",Duplicate enrolment,715,675,-2.88
Valmiki Nagar,45-60,463,Duplicate enrolment,237,226,-2.38
Valmiki Nagar,61-75,149,Duplicate enrolment,67,82,10.07
Valmiki Nagar,75+,39,Duplicate enrolment,15,24,23.08
Valmiki Nagar,18-29,"2,719",Permanently shifted,880,"1,839",35.27
Valmiki Nagar,30-44,"5,780",Permanently shifted,"2,497","3,283",13.6
Valmiki Nagar,45-60,"3,222",Permanently shifted,"1,693","1,529",-5.09
Valmiki Nagar,61-75,"1,009",Permanently shifted,490,519,2.87
Valmiki Nagar,75+,278,Permanently shifted,117,161,15.83
Valmiki Nagar,18-29,734,Untraceable,286,448,22.07
Valmiki Nagar,30-44,"1,533",Untraceable,769,764,-0.33
Valmiki Nagar,45-60,750,Untraceable,364,386,2.93
Valmiki Nagar,61-75,220,Untraceable,117,103,-6.36
Valmiki Nagar,75+,77,Untraceable,31,46,19.48
Ramnagar (SC),18-29,319,Deceased,163,156,-2.19
Ramnagar (SC),30-44,"1,415",Deceased,681,734,3.75
Ramnagar (SC),45-60,"2,777",Deceased,"1,386","1,391",0.18
Ramnagar (SC),61-75,"3,901",Deceased,"2,006","1,895",-2.85
Ramnagar (SC),75+,"2,199",Deceased,"1,031","1,168",6.23
Ramnagar (SC),18-29,772,Duplicate enrolment,407,365,-5.44
Ramnagar (SC),30-44,"1,363",Duplicate enrolment,719,644,-5.5
Ramnagar (SC),45-60,560,Duplicate enrolment,262,298,6.43
Ramnagar (SC),61-75,139,Duplicate enrolment,74,65,-6.47
Ramnagar (SC),75+,31,Duplicate enrolment,10,21,35.48
Ramnagar (SC),18-29,"2,617",Permanently shifted,820,"1,797",37.33
Ramnagar (SC),30-44,"5,426",Permanently shifted,"2,226","3,200",17.95
Ramnagar (SC),45-60,"3,069",Permanently shifted,"1,570","1,499",-2.31
Ramnagar (SC),61-75,996,Permanently shifted,542,454,-8.84
Ramnagar (SC),75+,205,Permanently shifted,96,109,6.34
Ramnagar (SC),18-29,622,Untraceable,317,305,-1.93
Ramnagar (SC),30-44,942,Untraceable,437,505,7.22
Ramnagar (SC),45-60,368,Untraceable,193,175,-4.89
